,Entretien
1,SURVOLTER - BATTERIE
2,INSTALLER - PNEU PNEU ROUE
3,VÉRIFIER - ALTERNATEUR,RÉPARER - BATTERIE,VÉRIFIER - CAPTEUR
4,REMPLACER - TENSIONNEUR
5,REMPLACER - TRANSMISSION CONTRÔLE BOÎTE DE TRANSFERT
6,REMPLACER - PNEU PNEU ROUE
7,REMPLACER - PNEU PNEU ROUE
8,RÉPARER - ALTERNATEUR
9,RÉPARER - COMPRESSEUR
10,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE,INSPECTER VISUELLEMENT - CHASSIS INSPECTION VISUEL CARROSSERIE
11,RECHERCHER PANNE (diagnostic) - CYLINDRE DE LEVAGE
12,RECHERCHER PANNE (diagnostic) - POMPE HYDRAULIQUE SYSTÈME PRINCIPAL
13,REMPLACER - COMPRESSEUR À AIR
14,VÉRIFIER - RADIATEUR
15,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
16,RECHERCHER PANNE (diagnostic) - CODE DÉFAUT MOTEUR (Fault code)
17,RECHERCHER PANNE (diagnostic) - BATTERIE,RECHERCHER PANNE (diagnostic) - BATTERIE
18,RÉPARER - BATTERIE
19,REMPLACER - PNEU PNEU ROUE
20,RECHERCHER PANNE (diagnostic) - RADIATEUR
21,REMPLACER - PNEU PNEU ROUE
22,RÉPARER - LUMIÈRE DE JOUR (Day running light),RÉPARER - FILAGE ÉLECTRIQUE
23,RÉPARER - TOILE DE BENNE
24,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
25,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
26,TOURNER / MACHINER / FABRIQUER - FABRIQUE SYSTÈME ÉLECTRIQUE
27,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
28,INSPECTER VISUELLEMENT - CHASSIS INSPECTION VISUEL CARROSSERIE
29,VÉRIFIER - INSPECTION À L'EXTERNE,INSPECTER VISUELLEMENT - INSPECTION À L'INTERNE,INSTALLER - TRANSMISSION JOINT UNIVERSEL BOÎTE DE TRANSFERT,INSTALLER - CATALYSEUR,INSTALLER - BATTERIE,RÉPARER - FILAGE ÉLECTRIQUE,INSTALLER - CHANGEMENT D'HUILE,MODIFIER - SABOTS
30,INSPECTER VISUELLEMENT - INSPECTION À L'INTERNE,INSTALLER - BRAS DE RENVOI,INSTALLER - ÉTRIERS,RÉPARER - TRANSMISSION ARBRE D'ENTRAÎNEMENT (Drive shaft) BOÎTE DE TRANSFERT,AJUSTER - AJUSTEMENT D'USAGE,INSTALLER - BATTERIE,INSTALLER - ESSUIE-GLACE
31,INSTALLER - DISQUES,INSTALLER - COURROIE
32,INSTALLER - TRANSMISSION ARBRE D'ENTRAÎNEMENT (Drive shaft) BOÎTE DE TRANSFERT,VÉRIFIER - GRAISSAGE,AJUSTER - CHANGEMENT D'HUILE
33,INSTALLER - CHASSIS PIÈCE CARROSSERIE
34,INSTALLER - DISQUES,INSTALLER - BOYAUX,INSTALLER - ESSUIE-GLACE
35,INSTALLER - PNEU PNEU ROUE
36,INSTALLER - PNEU PNEU ROUE
37,INSTALLER - PNEU PNEU ROUE
38,INSTALLER - PNEU PNEU ROUE
39,INSTALLER - PNEU PNEU ROUE
40,INSTALLER - PNEU PNEU ROUE
41,INSTALLER - PNEU PNEU ROUE
42,INSTALLER - PNEU PNEU ROUE
43,INSTALLER - PNEU PNEU ROUE
44,INSTALLER - PNEU PNEU ROUE
45,INSTALLER - PNEU PNEU ROUE
46,INSTALLER - PNEU PNEU ROUE,RÉPARER - SYSTÈME D'ALARME
47,RÉPARER - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE
48,INSTALLER - PNEU PNEU ROUE
49,INSTALLER - PNEU PNEU ROUE
50,INSTALLER - TUYAUX ET BOYAUX
51,INSTALLER - PNEU PNEU ROUE
52,INSTALLER - PNEU PNEU ROUE
53,INSTALLER - PNEU PNEU ROUE
54,INSTALLER - PNEU PNEU ROUE
55,INSPECTER VISUELLEMENT - BATTERIE,INSTALLER - ALTERNATEUR
56,INSTALLER - PNEU PNEU ROUE
57,AJUSTER - PNEU ROULEMENT DE ROUE (bearing de roue) ROUE,INSTALLER - DISQUES,RÉPARER - FILAGE ÉLECTRIQUE,INSPECTER VISUELLEMENT - RÉPARATION,INSTALLER - BRAS DE RENVOI
58,INSTALLER - PNEU PNEU ROUE
59,INSTALLER - PNEU PNEU ROUE
60,INSTALLER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
61,INSTALLER - PNEU PNEU ROUE
62,INSTALLER - PNEU PNEU ROUE
63,SOUDER - PNEU PNEU ROUE
64,INSTALLER - PNEU PNEU ROUE
65,INSTALLER - PNEU PNEU ROUE
66,INSTALLER - PLAQUETTES,INSTALLER - PNEU PNEU ROUE
67,INSTALLER - PNEU PNEU ROUE
68,INSTALLER - PNEU PNEU ROUE
69,INSTALLER - PNEU PNEU ROUE
